"Protocol";"protocol___example_fcs-testing_protocols"
"Sheet";"Plot Sheet 1"
"Data Set";"example_fcs"
"Gate";"Number";"%Total";"%Gated";"Logic"
"All";"5000";"100,00";"100,00";"Ungated"
"A--";"2163";"43,26";"43,26";"A--"
"A+-";"1088";"21,76";"21,76";"A+-"
"A-+";"507";"10,14";"10,14";"A-+"
"A++";"1242";"24,84";"24,84";"A++"
"B--";"1003";"20,06";"20,06";"B--"
"B+-";"3014";"60,28";"60,28";"B+-"
"B-+";"216";"4,32";"4,32";"B-+"
"B++";"767";"15,34";"15,34";"B++"
"C";"4950";"99,00";"99,00";"C"
"D";"4956";"99,12";"99,12";"D"
"E";"2736";"54,72";"54,72";"E"
"F";"4955";"99,10";"99,10";"F"
"G--";"3483";"69,66";"69,66";"G--"
"G+-";"1134";"22,68";"22,68";"G+-"
"G-+";"183";"3,66";"3,66";"G-+"
"G++";"200";"4,00";"4,00";"G++"
"H--";"4004";"80,08";"80,08";"H--"
"H+-";"931";"18,62";"18,62";"H+-"
"H-+";"55";"1,10";"1,10";"H-+"
"H++";"10";"0,20";"0,20";"H++"
"I";"3973";"79,46";"79,46";"I"
"J";"2629";"52,58";"52,58";"J"
"K";"29";"0,58";"0,58";"K"
"L";"4141";"82,82";"82,82";"L"
"M";"1211";"24,22";"24,22";"M"
"N-";"1805";"36,10";"36,10";"N-"
"N+";"3195";"63,90";"63,90";"N+"
"O";"4826";"96,52";"96,52";"O"
"P--";"4814";"96,28";"96,28";"P--"
"P+-";"38";"0,76";"0,76";"P+-"
"P-+";"101";"2,02";"2,02";"P-+"
"P++";"47";"0,94";"0,94";"P++"
"Q--";"35";"0,70";"74,47";"Q-- AND P++"
"Q+-";"2";"0,04";"4,26";"Q+- AND P++"
"Q-+";"8";"0,16";"17,02";"Q-+ AND P++"
"Q++";"2";"0,04";"4,26";"Q++ AND P++"
